tx_sign,base_call,in_wsprnet,in_wsprdaemon,source_class,quality_tier,modal_grid,grid_precision,lat,lon,hemisphere,abs_lat,cgm_lat,abs_cgm_lat,n_days_active,n_spots_wsprnet
F5GVA,F5GVA,True,True,both,B,IN95mp,6.0,45.6458,-0.9583,N,45.6458,39.678,39.678,5,2934
F5HGF,F5HGF,True,True,both,B,JN25ud,6.0,45.1458,5.7083,N,45.1458,39.167,39.167,329,610990
F5HMG,F5HMG,True,True,both,A,JN18dt,6.0,48.8125,2.2917,N,48.8125,43.788,43.788,10,1587
F5HRY,F5HRY,True,True,both,B,IN88ai,6.0,48.3542,-3.9583,N,48.3542,43.27,43.27,6,85198
F5IHM,F5IHM,True,True,both,B,IN88xa,6.0,48.0208,-2.0417,N,48.0208,42.8,42.8,14,172569
F5IHN,F5IHN,True,True,both,B,JN23fv,6.0,43.8958,4.4583,N,43.8958,37.486,37.486,23,23308
F5INV,F5INV,True,True,both,B,JN03,4.0,43.5,1.0,N,43.5,36.834,36.834,3,1256
F5ITU,F5ITU,True,True,both,B,JN25jr,6.0,45.7292,4.7917,N,45.7292,39.89,39.89,20,3409
F5IWR,F5IWR,True,True,both,A,JN37,4.0,47.5,7.0,N,47.5,42.2,42.2,12,3725
F5JDI,F5JDI,True,True,both,A,JO10wf,6.0,50.2292,3.875,N,50.2292,45.558,45.558,10,20901
F5JYS,F5JYS,True,True,both,B,JN23pm,6.0,43.5208,5.2917,N,43.5208,37.028,37.028,4,822
F5KDB,F5KDB,True,True,both,A,JO10,4.0,50.5,3.0,N,50.5,45.896,45.896,86,44076
F5KTR,F5KTR,True,True,both,A,JN18ev,6.0,48.8958,2.375,N,48.8958,43.893,43.893,11,27680
F5LEN,F5LEN,True,True,both,A,JN38bo,6.0,48.6042,6.125,N,48.6042,43.56,43.56,16,51873
F5LHF,F5LHF,True,True,both,A,JN25en,6.0,45.5625,4.375,N,45.5625,39.662,39.662,25,16500
F5LLZ,F5LLZ,True,True,both,B,JN38uo,6.0,48.6042,7.7083,N,48.6042,43.589,43.589,5,774
F5LTH,F5LTH,True,True,both,A,JN23rk,6.0,43.4375,5.4583,N,43.4375,36.926,36.926,11,6631
F5MAF,F5MAF,True,True,both,B,JN03pq,6.0,43.6875,1.2917,N,43.6875,37.096,37.096,113,159455
F5MMX,F5MMX,True,True,both,B,IN95oc,6.0,45.1042,-0.7917,N,45.1042,38.958,38.958,22,67982
F5MYH,F5MYH,True,True,both,B,JN07,4.0,47.5,1.0,N,47.5,42.112,42.112,5,81156
F5NGZ,F5NGZ,True,True,both,B,JN38bp,6.0,48.6458,6.125,N,48.6458,43.612,43.612,26,25543
F5NZY,F5NZY,True,True,both,A,JN09cn,6.0,49.5625,0.2083,N,49.5625,44.746,44.746,20,15604
F5OAA,F5OAA,True,True,both,A,JN18,4.0,48.5,3.0,N,48.5,43.396,43.396,118,231258
F5ONL,F5ONL,True,True,both,B,JN39ob,6.0,49.0625,7.2083,N,49.0625,44.145,44.145,14,4460
F5PEQ,F5PEQ,True,True,both,B,IN96gp,6.0,46.6458,-1.4583,N,46.6458,41.0,41.0,3,515
F5PGT,F5PGT,True,True,both,A,IN88gq,6.0,48.6875,-3.4583,N,48.6875,43.69,43.69,62,408767
F5POE,F5POE,True,True,both,B,JN18ao,6.0,48.6042,2.0417,N,48.6042,43.524,43.524,6,5340
F5PYJ,F5PYJ,True,True,both,B,IN87,4.0,47.5,-3.0,N,47.5,42.136,42.136,18,49786
F5PZT,F5PZT,True,True,both,A,JN38tk,6.0,48.4375,7.625,N,48.4375,43.382,43.382,11,33284
F5RMQ,F5RMQ,True,True,both,A,JN06,4.0,46.5,1.0,N,46.5,40.816,40.816,10,621
F5SAE,F5SAE,True,True,both,A,JN28bh,6.0,48.3125,4.125,N,48.3125,43.168,43.168,70,6942
F5SCC,F5SCC,True,True,both,B,JN38un,6.0,48.5625,7.7083,N,48.5625,43.538,43.538,37,395164
F5SEP,F5SEP,True,True,both,B,JN03bj,6.0,43.3958,0.125,N,43.3958,36.669,36.669,3,416
F5SHH,F5SHH,True,True,both,B,JN24lr,6.0,44.7292,4.9583,N,44.7292,38.599,38.599,3,408
F5SIK,F5SIK,True,True,both,B,JN26in,6.0,46.5625,4.7083,N,46.5625,40.958,40.958,5,579
F5SN,F5SN,True,True,both,B,JN27rb,6.0,47.0625,5.4583,N,47.0625,41.612,41.612,5,6936
F5TIL,F5TIL,True,True,both,A,JN36gc,6.0,46.1042,6.5417,N,46.1042,40.425,40.425,52,7947
F5TMB,F5TMB,True,True,both,B,JN18eq,6.0,48.6875,2.375,N,48.6875,43.63,43.63,13,248162
F5TYY,F5TYY,True,True,both,B,JN09oj,6.0,49.3958,1.2083,N,49.3958,44.527,44.527,3,2795
F5UJA,F5UJA,True,True,both,A,JN38rl,6.0,48.4792,7.4583,N,48.4792,43.43,43.43,250,122945
F5VAI,F5VAI,True,True,both,B,JN05nh,6.0,45.3125,1.125,N,45.3125,39.26,39.26,7,4036
F5VJC,F5VJC,True,True,both,B,IN98fn,6.0,48.5625,-1.5417,N,48.5625,43.493,43.493,6,10811
F5VJM,F5VJM,True,True,both,B,IN96fr,6.0,46.7292,-1.5417,N,46.7292,41.11,41.11,17,4540
F5VLB,F5VLB,True,True,both,A,IN88in,6.0,48.5625,-3.2917,N,48.5625,43.525,43.525,18,175409
F5VMH,F5VMH,True,True,both,B,JN08qr,6.0,48.7292,1.375,N,48.7292,43.683,43.683,6,31513
F5WK,F5WK,True,True,both,B,JN18hp,6.0,48.6458,2.625,N,48.6458,43.578,43.578,25,23417
F5ZXM,F5ZXM,True,True,both,A,IN88va,6.0,48.0208,-2.2083,N,48.0208,42.803,42.803,314,166651
F6ABJ,F6ABJ,True,False,wsprnet_only,A,JN25nj,6.0,45.3958,5.125,N,45.3958,39.47,39.47,386,26394
F6ACU,F6ACU,True,True,both,A,JN38fc,6.0,48.1042,6.4583,N,48.1042,42.943,42.943,18,12009
F6APU,F6APU,True,True,both,B,JN38un,6.0,48.5625,7.7083,N,48.5625,43.538,43.538,119,264129
F6AQN,F6AQN,True,True,both,A,JN08ll,6.0,48.4792,0.9583,N,48.4792,43.366,43.366,58,65301
F6BIB,F6BIB,True,True,both,B,IN88hc,6.0,48.1042,-3.375,N,48.1042,42.931,42.931,3,5988
F6BIR,F6BIR,True,True,both,A,JN19cf,6.0,49.2292,2.2083,N,49.2292,44.313,44.313,236,186897
F6BZT,F6BZT,True,True,both,B,JN23mw,6.0,43.9375,5.0417,N,43.9375,37.565,37.565,5,8273
F6CBA,F6CBA,True,True,both,B,IN93,4.0,43.5,-1.0,N,43.5,36.786,36.786,39,55276
F6CWN,F6CWN,True,True,both,A,JN09tt,6.0,49.8125,1.625,N,49.8125,45.048,45.048,304,1411301
F6DDV,F6DDV,True,True,both,B,JN04,4.0,44.5,1.0,N,44.5,38.178,38.178,4,131
F6DED,F6DED,True,True,both,A,IN96bt,6.0,46.8125,-1.875,N,46.8125,41.221,41.221,96,22345
F6DEX,F6DEX,True,True,both,B,JO10,4.0,50.5,3.0,N,50.5,45.896,45.896,7,78585
F6DFY,F6DFY,True,True,both,B,JN18,4.0,48.5,3.0,N,48.5,43.396,43.396,8,8414
F6DFZ,F6DFZ,True,True,both,B,JN24dk,6.0,44.4375,4.2917,N,44.4375,38.192,38.192,4,2265
F6DLX,F6DLX,True,True,both,A,JO10do,6.0,50.6042,2.2917,N,50.6042,46.029,46.029,46,3563
F6ECI,F6ECI,True,True,both,B,JN05sa,6.0,45.0208,1.5417,N,45.0208,38.882,38.882,84,1361622
F6ECK,F6ECK,True,True,both,B,JN23np,6.0,43.6458,5.125,N,43.6458,37.185,37.185,9,4524
F6EHJ,F6EHJ,True,True,both,A,JN03,4.0,43.5,1.0,N,43.5,36.834,36.834,25,47888
F6EIT,F6EIT,True,True,both,A,JN07ji,6.0,47.3542,0.7917,N,47.3542,41.923,41.923,32,150043
F6EKU,F6EKU,True,True,both,B,JN05,4.0,45.5,1.0,N,45.5,39.505,39.505,3,558
F6EMC/P,F6EMC,True,True,both,B,JN23ud,6.0,43.1458,5.7083,N,43.1458,36.553,36.553,9,851
F6END,F6END,True,True,both,B,IN97ue,6.0,47.1875,-0.2917,N,47.1875,41.706,41.706,8,995
F6ENI,F6ENI,True,True,both,B,IN87op,6.0,47.6458,-2.7917,N,47.6458,42.323,42.323,9,6787
F6EXG,F6EXG,True,True,both,A,JN33or,6.0,43.7292,7.2083,N,43.7292,37.397,37.397,10,1831
F6FBB,F6FBB,True,False,wsprnet_only,A,JN03,4.0,43.5,1.0,N,43.5,36.834,36.834,77,2678
F6FUZ,F6FUZ,True,True,both,A,JN05id,6.0,45.1458,0.7083,N,45.1458,39.032,39.032,395,3741464
F6GDZ,F6GDZ,True,True,both,B,JO10,4.0,50.5,3.0,N,50.5,45.896,45.896,4,2920
F6GPC,F6GPC,True,True,both,B,IN98ga,6.0,48.0208,-1.4583,N,48.0208,42.793,42.793,5,1328
F6GPG,F6GPG,True,True,both,B,JO10lk,6.0,50.4375,2.9583,N,50.4375,45.819,45.819,6,1671
F6HCC,F6HCC,True,True,both,A,IN87hs,6.0,47.7708,-3.375,N,47.7708,42.497,42.497,61,116194
F6HRJ,F6HRJ,True,True,both,A,IN88ht,6.0,48.8125,-3.375,N,48.8125,43.85,43.85,11,33175
F6HTJ,F6HTJ,True,False,wsprnet_only,A,JN12kq,6.0,42.6875,2.875,N,42.6875,35.804,35.804,38,150
F6IDT,F6IDT,True,True,both,A,JN33,4.0,43.5,7.0,N,43.5,37.087,37.087,326,3637233
F6IRF,F6IRF,True,True,both,B,JN35au,6.0,45.8542,6.0417,N,45.8542,40.09,40.09,25,62138
F6JON,F6JON,True,True,both,B,JN05uh,6.0,45.3125,1.7083,N,45.3125,39.27,39.27,6,2578
F6KJG,F6KJG,True,True,both,B,JN28,4.0,48.5,5.0,N,48.5,43.414,43.414,3,605
F6KOP,F6KOP,True,True,both,A,JN18,4.0,48.5,3.0,N,48.5,43.396,43.396,43,108567
F6KPL,F6KPL,True,True,both,B,IN99,4.0,49.5,-1.0,N,49.5,44.683,44.683,230,3158303
F8AOF,F8AOF,True,True,both,A,JN24jn,6.0,44.5625,4.7917,N,44.5625,38.375,38.375,12,45054
F8BOJ,F8BOJ,True,True,both,B,JN16wa,6.0,46.0208,3.875,N,46.0208,40.242,40.242,62,116718
F8BUU/P,F8BUU,True,True,both,B,IN94je,6.0,44.1875,-1.2083,N,44.1875,37.719,37.719,3,641
F8COD,F8COD,True,True,both,A,JN18gr,6.0,48.7292,2.5417,N,48.7292,43.683,43.683,15,14378
F8CPA,F8CPA,True,True,both,B,IN87,4.0,47.5,-3.0,N,47.5,42.136,42.136,7,3224
F8DO,F8DO,True,True,both,B,JN26if,6.0,46.2292,4.7083,N,46.2292,40.531,40.531,17,24074
F8DZB,F8DZB,True,True,both,A,IN98rh,6.0,48.3125,-0.5417,N,48.3125,43.161,43.161,61,187267
F8FFO,F8FFO,True,True,both,B,JN07il,6.0,47.4792,0.7083,N,47.4792,42.084,42.084,5,1295
